Reference, Value, Footprint, Datasheet, Supplier 1, Supplier 1 Cost, Description, Manufacturer, Manufacturer Part No, Supplier 1 Part No
C1,0.47F,REInnovationFootprint:C_0_47F_SuperCap,,Aliexpress,0.4,,,,
SC1,PV_CELL,REInnovationFootprint:PV_50x30mm_round,,Aliexpress,0.7,53x30mm 30mA 5V PV module,,,
D1,1N5819,REInnovationFootprint:TH_Diode_1,,RS,0.03,,,,
P7,LOGO1,CuriousElectric3:CEC_Globe_10mm_FCU,
P8,LOGO2,CuriousElectric3:TCEC_Words_13mm,
P2,SOLAR_V,matts_components:SIL-2_wide_lg_pad,
IC1,ATTINY85-P,REInnovationFootprint:DIP-8_300_ELL,http://www.farnell.com/datasheets/1744708.pdf?_ga=2.238630600.937687315.1494695229-1523402957.1422198431,Farnell,1.12,8 Bit uP 20MHz,ATMEL,ATTINY85-20PU,1455162
C2,100n,matts_components:C1_wide_lg_pad,,Rapid,0.07,,,,
R3,100k,REInnovationFootprint:TH_Resistor_1,,,0.01,,,,
R4,10k,REInnovationFootprint:TH_Resistor_1,,,0.01,,,,
Q1,BC547,REInnovationFootprint:TO92-EBC_large_pad,
R5,330,REInnovationFootprint:TH_Resistor_1,,,0.01,,,,
P3,MOTOR,matts_components:SIL-2_screw_terminal,
P1,SOLAR,matts_components:SIL-2_screw_terminal,
P4,ISP,REInnovationFootprint:ISP_3x2,,,0.05,,,,
R1,100k,REInnovationFootprint:TH_Resistor_1,,,0.01,,,,
R2,10k,REInnovationFootprint:TH_Resistor_1,,,0.01,,,,
P5,HEADER,REInnovationFootprint:SIL-7_DIO,
P10,HOLES,REInnovationFootprint:PCB_Holes_40x50,,,,,,,
R6,330,REInnovationFootprint:TH_Resistor_1,,,0.01,,,,
D2,LED,REInnovationFootprint:LED-5MM_larg_pad,,Aliexpress,0.1,5mm White LED ?,,,
